Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
brandweer,p 3 melding in app dv brw brandweerkazerne bunschoten bikkersweg bunschoten-spakenburg 090431,Geen beschrijving beschikbaar,2024-01-01,02:44:28
brandweer,p 2 br afval postdijk marum 011131,Geen beschrijving beschikbaar,2024-01-01,02:44:28
brandweer,p 2 bzb-09 oms brandmelding hotel ham van nouveau kelliez bv van coothplein breda 203132,Geen beschrijving beschikbaar,2024-01-01,02:44:24
brandweer,p 1 brt-08 ass. ambu afhijsen mertensstraat rotterdam 171151 171031,Geen beschrijving beschikbaar,2024-01-01,02:44:16
brandweer,p 3 melding in app dv brw brandweerkazerne bilthoven leyenseweg bilthoven 090731,Geen beschrijving beschikbaar,2024-01-01,02:44:07
brandweer,p 1 bzb-08 br woning abel tasmanstraat goes 194931,Woningbrand op Abel Tasmanstraat in Goes,2024-01-01,02:43:55
brandweer,t procedure dcu. inmelden bij het bac op gespreksgroep brt-knet-435,Geen beschrijving beschikbaar,2024-01-01,02:43:45
brandweer,opkomen kazerne in verband met procedure dcu. inmelden bij het bac op gespreksgroep brt-knet-435,Geen beschrijving beschikbaar,2024-01-01,02:43:43
brandweer,opkomen kazerne in verband me,Geen beschrijving beschikbaar,2024-01-01,02:43:43
brandweer,p 3 melding in app dv brw brandweerkazerne woerden boerendijk woerden 096231,Geen beschrijving beschikbaar,2024-01-01,02:43:22
brandweer,p 2 bon-06 kleine br br woning perzik nijkerk 071081,Woningbrand op Perzik in Nijkerk,2024-01-01,02:43:18
brandweer,p 1 bon-06 kleine br br woning perzik nijkerk 071097,Woningbrand op Perzik in Nijkerk,2024-01-01,02:43:18
brandweer,p 2 br afval ds. syperdapad appingedam 013131,Afvalbrand op Ds. Syperdapad in Appingedam,2024-01-01,02:43:17
brandweer,p 2 br afval steenendamsterweg burdaard 025331,Geen beschrijving beschikbaar,2024-01-01,02:43:16
brandweer,p 2 intrekken alarm brw br container paradijslaan eindhoven,Geen beschrijving beschikbaar,2024-01-01,02:43:03
brandweer,p 2 br container ondergronds robert fruinlaan amsterdam 132631,Buitenbrand (container) op Robert Fruinlaan in Amsterdam,2024-01-01,02:42:52
brandweer,p 1 blb-03 br wegvervoer scooter mgr. feronstraat heerlen 244141,Geen beschrijving beschikbaar,2024-01-01,02:42:40
brandweer,4532 opkomen kazerne. inmelden kanaal 477 niet statussen,Geen beschrijving beschikbaar,2024-01-01,02:42:40
brandweer,p 2 bdh-103 br container wiardi beckmanlaan rijswijk zh 159636,Geen beschrijving beschikbaar,2024-01-01,02:42:40
brandweer,p 1 bdh-18 br wegvervoer auto dronenweg bodegraven 163030,Geen beschrijving beschikbaar,2024-01-01,02:42:18
brandweer,p 1 brt-13 br bijgebouw van noortwijckstraat rotterdam 170531,Geen beschrijving beschikbaar,2024-01-01,02:42:05
brandweer,p 1 brt-11 br wegvervoer auto primulastraat rotterdam 173431,Geen beschrijving beschikbaar,2024-01-01,02:41:41
brandweer,p 1 brt-05 middel br br bijgebouw baarsveen spijkenisse 171061,Geen beschrijving beschikbaar,2024-01-01,02:41:41
brandweer,p 1 br wegvervoer ibisdreef utrecht 094531,Geen beschrijving beschikbaar,2024-01-01,02:41:25
brandweer,p 1 br wegvervoer fortlaan utrecht 094931,Geen beschrijving beschikbaar,2024-01-01,02:40:39
brandweer,p 1 bon-10 br bijgebouw keet/hok/schuurtje harrebrink heino 042634,Geen beschrijving beschikbaar,2024-01-01,02:40:31
brandweer,p 1 brt-05 middel br br bijgebouw baarsveen spijkenisse 179195 173132,Geen beschrijving beschikbaar,2024-01-01,02:40:27
brandweer,p 1 brt-05 middel br br bijg2ouw baarsveen spijkenisse 179195 173132,Middelbrand op Baarsveen in Spijkenisse,2024-01-01,02:40:27
brandweer,p 1 brt-05 br bijgebouw baarsveen spijkenisse 173131,Brand in bijgebouw op Baarsveen in Spijkenisse,2024-01-01,02:40:27
brandweer,p 1 bzb-02 br bijgebouw keet/hok/schuurtje camping de hoge waard hoge maasdijk andel 207161 209483,Brand in bijgebouw op Hoge Maasdijk in Andel,2024-01-01,02:40:26
brandweer,p 2 br afval coendersweg middelstum 013231,Afvalbrand op Coendersweg in Middelstum,2024-01-01,02:40:22
brandweer,p 1 middel br br woning wim sonneveldlaan utrecht 094852,Geen beschrijving beschikbaar,2024-01-01,02:39:50
brandweer,p 2 bob-12 br container paradijslaan eindhoven 222431,Buitenbrand (container) op Paradijslaan in Eindhoven,2024-01-01,02:39:46
brandweer,p 2 bdh-104 br container melkdragerhof delfgauw 155430,Buitenbrand (container) op Melkdragerhof in Delfgauw,2024-01-01,02:39:38
brandweer,p 1 brt-10 br woning indrapoerastraat rotterdam 170451 170631 170431,Geen beschrijving beschikbaar,2024-01-01,02:39:31
brandweer,p 1 bon-02 br berm-/bosschage bulkseweg kerkdriel 085331,Geen beschrijving beschikbaar,2024-01-01,02:39:20
brandweer,p 2 bon-107 br buiten aldi burgemeester keiserplein doesburg 075731,Geen beschrijving beschikbaar,2024-01-01,02:39:10
brandweer,p 1 bdh-104 br buiten rabatstraat delft 155530,Buitenbrand op Rabatstraat in Delft,2024-01-01,02:39:09
brandweer,p 1 bzb-02 br bijgebouw keet/hok/schuurtje camping de hoge waard hoge maasdijk andel 205632,Brand in bijgebouw op Hoge Maasdijk in Andel,2024-01-01,02:38:59
brandweer,p 1 bdh-03 br wegvervoer auto kerketuinenweg 's-gravenhage 159638,Geen beschrijving beschikbaar,2024-01-01,02:38:56
