Discipline,Titel,Beschrijving,Publicatiedatum,Publicatietijd
politie,aanrijding letsel zuidstedeweg nieuwegein,Politie naar Nieuwegein voor ongeval met letsel,2023-10-31,14:44:08
politie,3 dier in problemen groeneweg hoornaar icnum 585763,Politie naar Groeneweg in Hoornaar,2023-10-31,14:40:31
politie,graag contact politie meldkamer gms -812,Politie,2023-10-31,14:40:08
politie,graag contact mka,Politie  voor contact met de meldkamer opnemen,2023-10-31,14:35:05
politie,ongeval/wegvervoer/letsel prio 1 groningen pleiadenlaan,Ongeval met letsel op Pleiadenlaan in Groningen,2023-10-31,14:32:44
politie,bel oc 274419,Politie,2023-10-31,14:27:01
knrm,"prio 1, vaartuig motor / stuur problemen, tsc,vli1",KNRM met spoed voor vaartuig in problemen,2018-08-26,19:16:41
knrm,"prio 2, jacht in problemen, hui",KNRM met gepaste spoed,2018-08-26,18:20:18
knrm,"prio 2, vaartuig motor / stuur problemen, ehuzu1",KNRM met gepaste spoed voor vaartuig in problemen,2018-08-26,16:39:25
knrm,"prio 1, vaartuig maakt water, and,mbk",KNRM met spoed naar  Medemblik,2018-08-26,16:16:45
knrm,"alarm ingetrokken, sch1",KNRM met spoed,2018-08-26,14:04:03
knrm,"prio 1, vaartuig motor / stuur problemen, lls",KNRM met spoed voor vaartuig in problemen,2018-08-25,20:49:00
knrm,"prio 1, vaartuig maakt water, naz,ijm,zvt",KNRM met spoed,2018-08-25,18:10:39
knrm,"prio 1, medevac, laubi",KNRM met spoed,2018-08-25,17:27:01
knrm,"prio 2, vaartuig motor / stuur problemen, lem1",KNRM met gepaste spoed voor vaartuig in problemen,2018-08-25,16:08:26
knrm,"prio 2, vaartuig aan de grond boei vk1a-vk3, vee",KNRM met gepaste spoed voor vaartuig aan de grond,2018-08-25,12:07:19
knrm,"alarm ingetrokken, mbk",KNRM met spoed naar  Medemblik,2018-08-25,05:20:38
knrm,"prio 1, vaartuig omgeslagen, hui,mkn1..",KNRM met spoed,2018-08-24,21:41:57
knrm,"prio 1, vaartuig motor / stuur problemen, vli1",KNRM met spoed voor vaartuig in problemen,2018-08-24,20:33:51
knrm,"prio 2, vaartuig motor / stuur problemen, hui",KNRM met gepaste spoed voor vaartuig in problemen,2018-08-24,16:02:36
knrm,"prio 2, vaartuig tuigage problemen, mkn1,mkn2",KNRM met gepaste spoed,2018-08-24,15:11:47
knrm,"prio 1, vaartuig aan de grond, txc,txk",KNRM met spoed voor vaartuig aan de grond,2018-08-24,14:25:51
knrm,"prio 2, vaartuig motor / stuur problemen, han",KNRM met gepaste spoed voor vaartuig in problemen,2018-08-24,14:02:01
knrm,"prio 2, vaartuig aan de grond, txc",KNRM met gepaste spoed voor vaartuig aan de grond,2018-08-24,13:44:21
knrm,"prio 2, vaartuig motor / stuur problemen, hvh",KNRM met gepaste spoed voor vaartuig in problemen,2018-08-24,12:28:08
knrm,"prio 2, vaartuig motor / stuur problemen, laubu",KNRM met gepaste spoed voor vaartuig in problemen,2018-08-24,11:14:25
knrm,"alarm ingetrokken, vli1",KNRM met spoed,2018-08-23,19:37:16
knrm,"prio 1, vaartuig omgeslagen, elb,hrw",KNRM met spoed,2018-08-23,17:21:35
knrm,"alarm ingetrokken, mkn1",KNRM met spoed,2018-08-23,13:52:31
knrm,"prio 2, vaartuig motor / stuur problemen, mkn1",KNRM met gepaste spoed voor vaartuig in problemen,2018-08-23,13:45:17
knrm,"prio 2, vaartuig motor problemen, ijm",KNRM met gepaste spoed voor vaartuig met motorproblemen,2018-08-22,18:30:31
knrm,"prio 2, vaartuig aan de grond, har1","Vaartuig aan de grond in Harderwijk, knrm met gepaste spoed voor (station harlingen) ter plaatse",2018-08-22,17:29:16
knrm,"prio 1, zwemmer vermist, cg06,zvt,zvt1,ijm,naz",KNRM met spoed,2018-08-22,15:18:06
knrm,"prio 2, vaartuig aan de grond, har1","Vaartuig aan de grond in Harderwijk, knrm met gepaste spoed voor (station harlingen) ter plaatse",2018-08-22,12:18:41
knrm,"prio 1, vaartuig motor problemen, mkn1",KNRM met spoed voor vaartuig met motorproblemen,2018-08-21,23:56:23
knrm,"prio 1, zwemmer in problemen, sch1",KNRM met spoed voor zwemmer in problemen,2018-08-21,19:14:17
knrm,"prio 2, vaartuig motor problemen, laubi",KNRM met gepaste spoed voor vaartuig met motorproblemen,2018-08-21,15:39:26
knrm,"prio 2, vaartuig motor problemen, laubi",KNRM met gepaste spoed voor vaartuig met motorproblemen,2018-08-21,15:39:24
knrm,"prio 1, , zvtrbs",KNRM met spoed,2018-08-21,13:14:58
knrm,"prio 2, vaartuig motor / stuur problemen, laubu",KNRM met gepaste spoed voor vaartuig in problemen,2018-08-20,19:08:54
knrm,svp bellen kwc,svp bellen kwc,2018-08-20,18:59:56
knrm,"prio 1, jacht vastgelopen assistentie havendienst, hvh",KNRM met spoed,2018-08-20,18:56:38
knrm,"prio 1, medical advice, cg06,soo1..",KNRM met spoed,2018-08-20,16:09:01
knrm,"prio 2, vaartuig motor problemen, thor,lls","Vaartuig met motorproblemen in Thorn, knrm met gepaste spoed ter plaatse",2018-08-20,15:33:31
knrm,"prio 2, vaartuig aan de grond, urk1",KNRM met gepaste spoed voor vaartuig aan de grond,2018-08-19,19:09:35
knrm,"prio 2, jacht in problemen, txo",KNRM met gepaste spoed,2018-08-19,18:16:03
knrm,"prio 1, hond in problemen, hvh",KNRM met spoed,2018-08-19,17:35:27
